year,gvkey1,gvkey2,score,name1,name2
2006,1690,9899,0.0029,APPLE INC,AT&T INC
1998,1690,11399,0.0657,APPLE INC,WESTERN DIGITAL CORP
1999,1690,11399,0.0549,APPLE INC,WESTERN DIGITAL CORP
2000,1690,11399,0.0813,APPLE INC,WESTERN DIGITAL CORP
2001,1690,11399,0.0479,APPLE INC,WESTERN DIGITAL CORP
2002,1690,11399,0.0555,APPLE INC,WESTERN DIGITAL CORP
2003,1690,11399,0.0703,APPLE INC,WESTERN DIGITAL CORP
2004,1690,11399,0.0665,APPLE INC,WESTERN DIGITAL CORP
2005,1690,11399,0.0704,APPLE INC,WESTERN DIGITAL CORP
2006,1690,11399,0.0748,APPLE INC,WESTERN DIGITAL CORP
2007,1690,11399,0.0628,APPLE INC,WESTERN DIGITAL CORP
2008,1690,11399,0.0829,APPLE INC,WESTERN DIGITAL CORP
2009,1690,11399,0.0796,APPLE INC,WESTERN DIGITAL CORP
2010,1690,11399,0.0823,APPLE INC,WESTERN DIGITAL CORP
2011,1690,11399,0.044,APPLE INC,WESTERN DIGITAL CORP
2012,1690,11399,0.0454,APPLE INC,WESTERN DIGITAL CORP
2013,1690,11399,0.023,APPLE INC,WESTERN DIGITAL CORP
2014,1690,11399,0.012,APPLE INC,WESTERN DIGITAL CORP
2015,1690,11399,0.0386,APPLE INC,WESTERN DIGITAL CORP
2016,1690,11399,0.0063,APPLE INC,WESTERN DIGITAL CORP
2017,1690,11399,0.0321,APPLE INC,WESTERN DIGITAL CORP
1998,1690,12141,0.0601,APPLE INC,MICROSOFT CORP
1999,1690,12141,0.0676,APPLE INC,MICROSOFT CORP
2000,1690,12141,0.093,APPLE INC,MICROSOFT CORP
2001,1690,12141,0.1023,APPLE INC,MICROSOFT CORP
2002,1690,12141,0.139,APPLE INC,MICROSOFT CORP
2003,1690,12141,0.0709,APPLE INC,MICROSOFT CORP
2004,1690,12141,0.0807,APPLE INC,MICROSOFT CORP
2005,1690,12141,0.0215,APPLE INC,MICROSOFT CORP
2006,1690,12141,0.041,APPLE INC,MICROSOFT CORP
2007,1690,12141,0.0521,APPLE INC,MICROSOFT CORP
2008,1690,12141,0.0614,APPLE INC,MICROSOFT CORP
2009,1690,12141,0.0328,APPLE INC,MICROSOFT CORP
2010,1690,12141,0.0376,APPLE INC,MICROSOFT CORP
2011,1690,12141,0.0347,APPLE INC,MICROSOFT CORP
